,Instrument,Date,1 Month Total Return,Company Market Cap,Price Close
155,MKTX.OQ,2016-12-30T00:00:00Z,-11.3711769310756,5521201884.16,146.92
156,MKTX.OQ,2017-01-31T00:00:00Z,27.450313097136,7036789088.0,187.25
157,MKTX.OQ,2017-02-28T00:00:00Z,8.7589064964142,7337982134.34999,195.23
158,MKTX.OQ,2017-03-31T00:00:00Z,-3.96455462906277,7047063824.05,187.49
159,MKTX.OQ,2017-04-28T00:00:00Z,3.53877594705181,7225135060.4,192.52
160,MKTX.OQ,2017-05-31T00:00:00Z,-0.832564412750658,7152328276.6,190.58
161,MKTX.OQ,2017-06-30T00:00:00Z,5.1723236219327,7547136197.0,201.1
162,MKTX.OQ,2017-07-31T00:00:00Z,0.890104423596605,7615897146.74999,202.89
163,MKTX.OQ,2017-08-31T00:00:00Z,-4.74024753685188,7242778621.25,192.95
164,MKTX.OQ,2017-09-29T00:00:00Z,-3.5997910115922,6925965708.25,184.51
165,MKTX.OQ,2017-10-31T00:00:00Z,-5.69616822872663,6531427386.0,174.0
166,MKTX.OQ,2017-11-30T00:00:00Z,13.0494059975411,7329838078.53,195.27
167,MKTX.OQ,2017-12-29T00:00:00Z,3.31848210158856,7573077443.25,201.75
168,MKTX.OQ,2018-01-31T00:00:00Z,-2.74597273955593,7365122801.19,196.21
169,MKTX.OQ,2018-02-28T00:00:00Z,4.83217343257012,7616159390.4,202.4
170,MKTX.OQ,2018-03-29T00:00:00Z,7.43083003919442,8182103250.24,217.44
171,MKTX.OQ,2018-04-30T00:00:00Z,-8.65066225196419,7469770156.65,198.63
172,MKTX.OQ,2018-05-31T00:00:00Z,7.78401157590993,8034619110.75,213.65
173,MKTX.OQ,2018-06-29T00:00:00Z,-8.46171640204079,7440813186.3,197.86
174,MKTX.OQ,2018-07-31T00:00:00Z,-2.06711816586151,7280126856.9,193.77
175,MKTX.OQ,2018-08-31T00:00:00Z,-1.81756905651719,7131721525.4,189.82
176,MKTX.OQ,2018-09-28T00:00:00Z,-6.04800505537282,6706042435.3,178.49
177,MKTX.OQ,2018-10-31T00:00:00Z,17.4687657571584,7882040232.33,209.67
178,MKTX.OQ,2018-11-30T00:00:00Z,0.419413067253926,8185036580.26999,217.73
